Time,Time,Time (Hour),Load_kW,kWh,Total Energy Consumption (kWh),,,Missing data rows,,"0,612257",,,,,,,,,"graphs are not properly seen online, for a better view download the exc file",,,,,,,,,
01/01/2018 22:30:00,1/1/2018,10:30:00 p. m.,"0,95","0,2375",,,,,,9:30:00 p. m.,"89,07",168,"0,5301785714",,9:30:00 p. m.,"112,1",182,"0,6157142857",,,,,,,,,,
01/01/2018 22:45:00,1/1/2018,10:45:00 p. m.,"0,96","0,24",,,,,,9:45:00 p. m.,"91,23",168,"0,5430357143",,9:45:00 p. m.,"111,9",182,"0,6148351648",,,,,,,,,,
01/01/2018 23:00:00,1/1/2018,11:00:00 p. m.,"0,7","0,175",,,,,,10:00:00 p. m.,"105,33",168,"0,6269642857",,10:00:00 p. m.,"127,6",182,"0,7012637363",,,,,,,,,,
01/01/2018 23:15:00,1/1/2018,11:15:00 p. m.,"0,66","0,165",,,,,,10:15:00 p. m.,"111,67",168,"0,664702381",,10:15:00 p. m.,"132,8",182,"0,7296153846",,,,,,,,,,
01/01/2018 23:30:00,1/1/2018,11:30:00 p. m.,"0,59","0,1475",,,,,,10:30:00 p. m.,"105,96",168,"0,6307142857",,10:30:00 p. m.,"126,4",182,"0,6943406593",,,,,,,,,,
01/01/2018 23:45:00,1/1/2018,11:45:00 p. m.,"0,64","0,16",,,,,,10:45:00 p. m.,"104,4",168,"0,6214285714",,10:45:00 p. m.,"121,3",182,"0,6667032967",,,,,,,,,,
02/01/2018 00:00:00,2/1/2018,12:00:00 a. m.,"0,58","0,145",,"0,612257",,,,11:00:00 p. m.,"103,5",168,"0,6160714286",,11:00:00 p. m.,"122,3",182,"0,6721428571",,,,,,,,,,
02/01/2018 00:15:00,2/1/2018,12:15:00 a. m.,"0,68","0,17",,,,,,11:15:00 p. m.,"102,01",168,"0,607202381",,11:15:00 p. m.,"117,5",182,"0,6454395604",,,,,,,,,,
02/01/2018 00:30:00,2/1/2018,12:30:00 a. m.,"0,94","0,235",,,,,,11:30:00 p. m.,"103,93",168,"0,6186309524",,11:30:00 p. m.,"118,9",182,"0,6531318681",,,,,,,,,,
02/01/2018 00:45:00,2/1/2018,12:45:00 a. m.,"0,29","0,0725",,,,,,11:45:00 p. m.,"112,31",168,"0,6685119048",,11:45:00 p. m.,"129,2",182,"0,7098901099",,,,,,,,,,
02/01/2018 01:00:00,2/1/2018,1:00:00 a. m.,"0,14","0,035",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 01:15:00,2/1/2018,1:15:00 a. m.,"0,13","0,0325",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 01:30:00,2/1/2018,1:30:00 a. m.,"0,26","0,065",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 01:45:00,2/1/2018,1:45:00 a. m.,"0,11","0,0275",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 02:00:00,2/1/2018,2:00:00 a. m.,"0,03","0,0075",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 02:15:00,2/1/2018,2:15:00 a. m.,"0,04","0,01",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 02:30:00,2/1/2018,2:30:00 a. m.,"0,05","0,0125",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 02:45:00,2/1/2018,2:45:00 a. m.,"0,19","0,0475",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 03:00:00,2/1/2018,3:00:00 a. m.,"0,15","0,0375",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 03:15:00,2/1/2018,3:15:00 a. m.,"0,13","0,0325",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 03:30:00,2/1/2018,3:30:00 a. m.,"0,15","0,0375",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 03:45:00,2/1/2018,3:45:00 a. m.,"0,16","0,04",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 04:00:00,2/1/2018,4:00:00 a. m.,"0,04","0,01",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 04:15:00,2/1/2018,4:15:00 a. m.,"0,03","0,0075",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 04:30:00,2/1/2018,4:30:00 a. m.,"0,04","0,01",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 04:45:00,2/1/2018,4:45:00 a. m.,"0,14","0,035",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 05:00:00,2/1/2018,5:00:00 a. m.,"0,16","0,04",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 05:15:00,2/1/2018,5:15:00 a. m.,"0,14","0,035",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 05:30:00,2/1/2018,5:30:00 a. m.,"0,14","0,035",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 05:45:00,2/1/2018,5:45:00 a. m.,"0,16","0,04",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 06:00:00,2/1/2018,6:00:00 a. m.,"0,07","0,0175",,,,,,,,,,,,,,,,,,,,,,,,
02/01/2018 06:15:00,2/1/2018,6:15:00 a. m.,"0,04","0,01",,,,,,,,,,,,,,,,,,,,,,,,
